               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.023754,            0.024352,                   0,             0.97177,             0.97543,             0.99183,             0.76717,            0.019668,            0.017283,                   0,           0.0026917,           0.0026917,           0.0026917
                  83,            0.023976,            0.024537,                   0,             0.96693,             0.98331,             0.99232,             0.77729,            0.019121,            0.016791,                   0,           0.0026227,           0.0026227,           0.0026227
                  84,            0.023598,            0.023807,                   0,             0.97028,             0.98068,             0.99202,             0.77818,            0.019186,            0.016794,                   0,            0.002557,            0.002557,            0.002557
                  85,            0.023267,            0.024115,                   0,             0.97187,             0.97618,             0.99211,             0.77796,            0.019075,            0.016787,                   0,           0.0024948,           0.0024948,           0.0024948
                  86,            0.023366,            0.024194,                   0,             0.96795,             0.97992,             0.99163,             0.77152,             0.01941,            0.017064,                   0,            0.002436,            0.002436,            0.002436
                  87,            0.023636,            0.024699,                   0,             0.97013,             0.98143,             0.99237,             0.78268,            0.018846,            0.016551,                   0,           0.0023807,           0.0023807,           0.0023807
                  88,            0.023484,            0.024179,                   0,             0.97066,             0.98031,             0.99208,             0.77961,            0.018976,            0.016692,                   0,            0.002329,            0.002329,            0.002329
                  89,             0.02358,            0.023843,                   0,             0.97728,             0.97693,             0.99256,             0.78647,            0.018565,            0.016359,                   0,           0.0022809,           0.0022809,           0.0022809
                  90,            0.023421,             0.02392,                   0,             0.97478,             0.97876,             0.99203,             0.78508,            0.018622,            0.016423,                   0,           0.0022365,           0.0022365,           0.0022365
                  91,            0.023398,            0.024104,                   0,             0.96905,               0.982,             0.99223,             0.78158,            0.018796,            0.016466,                   0,           0.0021958,           0.0021958,           0.0021958
                  92,            0.023436,            0.023512,                   0,             0.97763,             0.97543,             0.99222,             0.78693,            0.018506,            0.016432,                   0,           0.0021588,           0.0021588,           0.0021588
                  93,            0.022773,            0.023373,                   0,             0.97823,             0.97762,             0.99275,             0.79375,            0.018137,            0.016179,                   0,           0.0021257,           0.0021257,           0.0021257
                  94,            0.023178,            0.024012,                   0,             0.97555,             0.97271,              0.9918,             0.77708,            0.019144,            0.016792,                   0,           0.0020963,           0.0020963,           0.0020963
                  95,            0.022863,            0.023414,                   0,             0.97804,             0.97726,             0.99285,             0.79218,            0.018153,            0.016202,                   0,           0.0020709,           0.0020709,           0.0020709
                  96,            0.022655,            0.023887,                   0,             0.97709,             0.97599,             0.99239,              0.7879,            0.018484,            0.016413,                   0,           0.0020492,           0.0020492,           0.0020492
                  97,            0.022622,            0.023383,                   0,             0.97154,             0.97972,             0.99244,             0.78737,            0.018527,            0.016385,                   0,           0.0020315,           0.0020315,           0.0020315
                  98,            0.023046,            0.023856,                   0,             0.97747,             0.97656,             0.99245,             0.79459,            0.017924,            0.016118,                   0,           0.0020178,           0.0020178,           0.0020178
                  99,            0.023059,            0.023805,                   0,             0.97404,               0.982,             0.99263,              0.7943,            0.017889,            0.015966,                   0,           0.0020079,           0.0020079,           0.0020079
